Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Indiana,07/01/2020,2,1.6,114,84073,2.4,1.9,135.6,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Indiana,07/27/2020,11,6.9,234,84073,13.1,8.2,278.3,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Perry,05/24/2020,0,1.3,48,46272,0,2.8,103.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Centre,03/05/2020,0,,0,162385,0,,0,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Perry,05/16/2020,0,0.6,39,46272,0,1.2,84.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Wyoming,05/23/2020,0,0.6,35,26794,0,2.1,130.6,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Susquehanna,05/29/2020,0,1.9,110,40328,0,4.6,272.8,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Wyoming,05/11/2020,1,0.3,29,26794,3.7,1.1,108.2,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Indiana,06/27/2020,1,0.4,104,84073,1.2,0.5,123.7,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Union,05/30/2020,0,0.7,58,44923,0,1.6,129.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,07/08/2020,0,0.6,100,44923,0,1.3,222.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Indiana,05/24/2020,0,0.6,90,84073,0,0.7,107,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Union,06/07/2020,1,2.3,74,44923,2.2,5.1,164.7,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,06/14/2020,1,1.6,85,44923,2.2,3.5,189.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,05/14/2020,1,0.6,36,44923,2.2,1.3,80.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,05/01/2020,1,0.9,30,44923,2.2,1.9,66.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,05/03/2020,0,0.9,30,44923,0,1.9,66.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Juniata,04/17/2021,5,5.1,2005,24763,20.2,20.8,8096.8,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Union,07/16/2020,1,1.7,112,44923,2.2,3.8,249.3,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Cameron,03/21/2021,0,0.1,267,4447,0,3.2,6004,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Susquehanna,06/19/2020,0,1.4,180,40328,0,3.5,446.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Wyoming,05/10/2020,1,0.1,28,26794,3.7,0.5,104.5,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Warren,04/17/2021,1,8,2431,39191,2.6,20.4,6203,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Juniata,04/16/2021,5,4.4,2000,24763,20.2,17.9,8076.6,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Union,03/24/2020,0,0,0,44923,0,0,0,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Indiana,05/25/2020,0,0.4,90,84073,0,0.5,107,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Wyoming,05/04/2020,0,1.1,27,26794,0,4.3,100.8,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Cameron,03/14/2021,0,0.3,266,4447,0,6.4,5981.6,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Lycoming,08/08/2020,9,7.9,400,113299,7.9,6.9,353,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Indiana,07/16/2020,2,8,180,84073,2.4,9.5,214.1,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Wyoming,04/19/2020,0,0.9,18,26794,0,3.2,67.2,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Fulton,04/17/2021,3,3.9,1253,14530,20.6,26.5,8623.5,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Warren,02/09/2021,10,7,2094,39191,25.5,17.9,5343.1,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Warren,01/14/2021,7,17.6,1846,39191,17.9,44.8,4710.3,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Crawford,03/21/2020,0,0,0,84629,0,0,0,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Indiana,08/25/2020,3,5.1,415,84073,3.6,6.1,493.6,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Wyoming,06/01/2020,0,0.1,36,26794,0,0.5,134.4,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Cameron,03/27/2021,3,1.4,277,4447,67.5,32.1,6228.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Lawrence,06/19/2020,2,0.7,94,85512,2.3,0.8,109.9,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Montour,03/30/2021,5,4.6,1840,18230,27.4,25.1,10093.3,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Philadelphia,12/13/2020,666,976.3,77003,1584064,42,61.6,4861.1,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Berks,03/17/2021,126,127.3,37619,421164,29.9,30.2,8932.1,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Lancaster,08/08/2020,67,39.3,5943,545724,12.3,7.2,1089,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Pennsylvania,06/07/2020,362,524,76206,12801989,2.8,4.1,595.3,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Delaware,03/14/2021,73,102.4,42438,566747,12.9,18.1,7488,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Beaver,04/04/2021,11,44.4,13411,163929,6.7,27.1,8181,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Schuylkill,04/18/2021,9,41.3,13634,141359,6.4,29.2,9644.9,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Montour,02/13/2021,4,3.9,1699,18230,21.9,21.2,9319.8,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Centre,04/23/2021,70,52.7,16067,162385,43.1,32.5,9894.4,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Beaver,02/12/2021,58,51.7,11623,163929,35.4,31.5,7090.3,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Indiana,07/19/2020,1,3.6,184,84073,1.2,4.2,218.9,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
