County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Erie,03/10/2021,1,0.6,390,269728,0.37,0.21,144.59,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Clarion,02/01/2021,0,0.4,78,38438,0,1.11,202.92,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Northampton,03/18/2021,2,1.3,672,305285,0.66,0.42,220.12,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Perry,01/11/2021,0,1.4,62,46272,0,3.09,133.99,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Clarion,03/26/2021,0,0.1,88,38438,0,0.37,228.94,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Fulton,03/22/2021,0,0,15,14530,0,0,103.23,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Erie,02/23/2021,1,0.7,381,269728,0.37,0.26,141.25,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Butler,11/21/2020,0,2.6,74,187853,0,1.37,39.39,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Blair,03/08/2021,0,0.3,309,121829,0,0.23,253.63,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Northampton,12/31/2020,6,4.9,465,305285,1.97,1.59,152.32,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Centre,03/21/2021,0,0,213,162385,0,0,131.17,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Philadelphia,05/20/2020,11,17.4,1393,1584064,0.69,1.1,87.94,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Delaware,03/05/2021,1,0.9,1258,566747,0.18,0.15,221.97,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Erie,01/07/2021,2,3.4,297,269728,0.74,1.27,110.11,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Blair,03/14/2021,0,0.3,311,121829,0,0.23,255.28,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Greene,02/13/2021,0,0,30,36233,0,0,82.8,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Washington,01/26/2021,2,3.9,223,206865,0.97,1.86,107.8,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Blair,02/10/2021,0,1.6,295,121829,0,1.29,242.14,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Huntingdon,01/30/2021,0,0,114,45144,0,0,252.53,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Erie,03/15/2021,0,0.6,391,269728,0,0.21,144.96,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Snyder,12/27/2020,1,0.4,44,40372,2.48,1.06,108.99,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Snyder,12/30/2020,0,0.7,47,40372,0,1.77,116.42,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Cumberland,03/12/2021,1,0.6,490,253370,0.39,0.23,193.39,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
